date,open,close,low,high,volume
2019-01-02,2497.88,2465.29,2456.42,2500.28,1099320.12
2019-01-02,2497.88,2465.29,2456.42,2500.28,1099320.12
2019-01-02,2497.88,2465.29,2456.42,2500.28,1099320.12
2019-01-03,2461.78,2464.36,2455.93,2488.48,1243975.0
2019-01-03,2461.78,2464.36,2455.93,2488.48,1243975.0
2019-01-03,2461.78,2464.36,2455.93,2488.48,1243975.0
2019-01-04,2446.02,2514.87,2440.91,2515.32,1688776.62
2019-01-04,2446.02,2514.87,2440.91,2515.32,1688776.62
2019-01-04,2446.02,2514.87,2440.91,2515.32,1688776.62
2019-01-07,2528.7,2533.09,2515.51,2536.98,1773050.12
2019-01-08,2530.3,2526.46,2520.16,2531.35,1580991.75
2019-01-09,2536.42,2544.34,2536.16,2574.41,1918879.25
2019-01-10,2543.85,2535.1,2531.66,2551.83,1598743.25
2019-01-11,2539.55,2553.83,2533.36,2554.79,1494441.0
2019-01-14,2553.33,2535.77,2533.01,2556.29,1448254.62
2019-01-15,2537.37,2570.34,2532.43,2571.5,1602655.25
2019-01-16,2569.07,2570.42,2563.01,2574.24,1493015.38
2019-01-17,2573.58,2559.64,2557.71,2582.56,1624681.38
2019-01-18,2567.74,2596.01,2565.9,2598.88,1907672.38
2019-01-21,2599.06,2610.51,2599.06,2618.98,1634251.12
2019-01-22,2609.64,2579.7,2573.06,2609.64,1525377.75
2019-01-23,2575.26,2581.0,2572.41,2589.51,1314268.0
2019-01-24,2584.65,2591.69,2569.7,2597.29,1540420.5
2019-01-25,2596.26,2601.72,2595.63,2617.0,1593940.25
2019-01-28,2615.71,2596.98,2591.1,2630.32,1469817.62
2019-01-29,2592.35,2594.25,2559.98,2601.74,1555811.12
2019-01-30,2584.75,2575.58,2575.41,2598.82,1205025.75
2019-01-31,2581.33,2584.57,2571.58,2606.63,1543038.75
2019-02-01,2597.78,2618.23,2590.55,2618.48,1319868.5
2019-02-11,2613.17,2653.9,2613.17,2654.1,1548988.62
2019-02-12,2654.03,2671.89,2648.83,2674.48,1841011.75
2019-02-13,2674.52,2721.07,2666.52,2727.08,2437940.0
2019-02-14,2715.54,2719.7,2707.49,2729.46,1970373.5
2019-02-15,2712.79,2682.39,2679.78,2715.63,1960042.62
2019-02-18,2699.82,2754.36,2699.82,2754.36,2604360.0
2019-02-19,2759.5,2755.65,2737.59,2780.78,2880462.75
2019-02-20,2761.06,2761.22,2739.98,2767.41,2459725.25
2019-02-21,2759.94,2751.8,2744.98,2794.01,2986499.75
2019-02-22,2749.46,2804.23,2736.33,2804.23,3014814.0
2019-02-25,2838.39,2961.28,2838.39,2961.8,5286586.0
2019-02-26,2969.1,2941.52,2938.62,2995.68,5655579.5
2019-02-27,2939.93,2953.82,2924.64,2997.49,4749764.5
2019-02-28,2950.05,2940.95,2930.2,2965.3,3502066.0
2019-03-01,2954.4,2994.01,2930.83,2994.01,3457862.0
2019-03-04,3015.94,3027.58,3006.94,3090.8,5256494.5
2019-03-05,3019.88,3054.25,3009.45,3054.96,4241425.5
2019-03-06,3060.43,3102.1,3050.11,3103.83,5550063.5
2019-03-07,3103.67,3106.42,3074.98,3129.94,5838170.5
2019-03-08,3038.34,2969.86,2969.58,3075.05,5778554.5
2019-03-11,2969.08,3026.99,2963.58,3028.25,4262130.5
2019-03-12,3049.08,3060.31,3029.9,3093.39,5111731.5
2019-03-13,3062.33,3026.95,3013.93,3065.29,4532146.0
2019-03-14,3013.6,2990.69,2968.82,3041.16,3731418.0
2019-03-15,3000.88,3021.75,2999.43,3048.12,3412061.5
2019-03-18,3027.8,3096.42,3009.51,3096.42,3977971.75
2019-03-19,3099.9,3090.98,3076.36,3113.43,3509088.5
2019-03-20,3084.17,3090.64,3053.45,3102.52,3585575.0
2019-03-21,3094.12,3101.46,3086.85,3125.02,4142511.75
2019-03-22,3100.73,3104.15,3064.88,3107.28,3648483.5
2019-03-25,3058.8,3043.03,3041.95,3087.0,3802787.5
2019-03-26,3057.56,2997.1,2988.49,3062.69,3534980.25
2019-03-27,3012.26,3022.72,2987.77,3022.76,2913903.5
2019-03-28,3009.8,2994.94,2991.78,3025.78,2881064.25
2019-03-29,3000.68,3090.76,2999.99,3093.03,3750830.0
2019-04-01,3111.66,3170.36,3111.66,3176.62,4661247.0
2019-04-02,3183.27,3176.82,3164.91,3193.27,4470690.0
2019-04-03,3159.15,3216.3,3152.33,3219.26,4305486.5
2019-04-04,3233.69,3246.57,3216.85,3254.14,4691176.5
2019-04-08,3271.27,3244.81,3210.52,3288.45,5045184.0
2019-04-09,3240.39,3239.66,3215.7,3251.65,3641700.0
2019-04-10,3224.65,3241.93,3204.88,3264.78,3801344.0
2019-04-11,3241.55,3189.96,3185.55,3254.13,3530318.75
2019-04-12,3184.86,3188.63,3168.04,3199.28,2897890.0
2019-04-15,3233.46,3177.79,3177.27,3253.98,3488097.75
2019-04-16,3164.4,3253.6,3153.21,3253.6,3579187.5
2019-04-17,3250.15,3263.12,3239.8,3275.33,3575418.0
2019-04-18,3261.07,3250.2,3241.83,3271.39,3255399.5
2019-04-19,3250.15,3270.8,3226.81,3274.33,3151980.0
2019-04-22,3278.49,3215.04,3206.88,3279.49,3532173.75
2019-04-23,3211.87,3198.59,3186.76,3231.58,3283612.0
2019-04-24,3203.56,3201.61,3156.61,3210.65,2748721.75
2019-04-25,3190.59,3123.83,3123.03,3193.75,3258791.25
2019-04-26,3108.16,3086.4,3085.8,3129.21,2808738.5
2019-04-29,3090.63,3062.5,3050.03,3107.76,2921148.75
2019-04-30,3052.62,3078.34,3052.62,3088.41,2223025.25
2019-05-06,2984.73,2906.46,2876.47,2986.54,3269722.75
2019-05-07,2914.29,2926.39,2889.07,2937.28,2532817.75
2019-05-08,2873.14,2893.76,2866.7,2929.43,2315305.25
2019-05-09,2871.2,2850.95,2845.04,2888.86,2000411.38
2019-05-10,2878.23,2939.21,2838.38,2941.45,2823068.0
2019-05-13,2905.07,2903.71,2892.17,2921.41,2120298.75
2019-05-14,2872.83,2883.61,2872.83,2909.2,2083453.5
2019-05-15,2902.64,2938.68,2902.64,2945.39,2305197.0
2019-05-16,2933.5,2955.71,2929.06,2956.17,2483857.0
2019-05-17,2955.77,2882.3,2873.8,2956.78,2663016.5
2019-05-20,2874.8,2870.6,2838.45,2882.63,2094724.38
2019-05-21,2867.71,2905.97,2862.5,2919.24,2113870.25
2019-05-22,2905.52,2891.7,2879.64,2912.4,2000269.0
2019-05-23,2880.84,2852.52,2846.96,2885.14,1973403.12
